Site,MAT,MAP,LON,LAT,ALT,SWC,SWC_2mm,pH,Potential,STC,STN,STP,Soil_AP,NH4N,NO3N,TIC,NestedT,PL,Proness,ITV_PL,ex_Turnover,ex_ITV,rate
XY101,8.481018923,235,104.2383,36.54936,,,,,,,,,,,,,21.95005274,-0.000495043,0.000181344,-0.000676366,0.002703621,0.037612389,0.071881126
S1,3.849118932,595.1640643,102.8161111,35.26126944,2601,0.023603968,,7.55,-13,3.32,0.2,0.641166766,3.13342005,,,,17.36694682,-0.002010126,-0.005358873,0.003342269,0.095353217,0.037235137,2.560839696
S33,0.499686432,341.6982229,98.36585,35.72570278,3610,0.011795979,,8.78,-83,1.99,0.07,0.787289143,7.334125638,,,,21.9285594,-0.006230779,-0.00403322,-0.002196145,0.113829807,0.033793525,3.368391088
S34,3.97856191,251.6930202,98.10243056,36.32291667,3160,0.052440811,,8.63,-75,2.08,0.06,0.624272625,2.819584012,,,,18.92380234,-0.003819769,-0.00645229,0.002631285,0.121500034,0.020225183,6.007364021
S35,4.065437571,252.8750133,99.04158611,36.79149722,3085,0.244778116,,8.45,-65,1.73,0.06,0.394138719,5.232563615,,,,15.8862377,0.005239394,-0.003726414,0.008967606,0.02233212,0.129278561,0.172744189
S36,4.019301987,295.2091518,99.72840833,36.48398889,3190,0.2147923,,8.12,-45,2.24,0.12,0.603762815,3.424926698,,,,20.22923302,0.000421692,0.003393255,-0.002969975,0.047834835,0.036684381,1.30395643
LM18,4.8125,408,88.18423611,29.19433889,4023,0.024590164,0.024590164,7.14,-8,0.1,0.018,0.202226508,5.47531398,2.112968042,0.458474198,1.64,19.94136475,-0.001288599,-0.000334972,-0.000953605,0.01474657,0.119517761,0.123383925
LM19,2.875,335,87.21857778,29.23706667,4487,0.062632696,0.062632696,7.52,-30,0.64,0.061,0.466409175,10.51855173,7.994023748,0.327121176,0.36,18.43815697,-0.000712121,0.000356663,-0.001068728,0.004103867,0.036851695,0.1113617
LM20,2.0291667,273,86.55095278,29.46441389,4632,0.031914894,0.031914894,7.17,-10,1.05,0.11,0.430505081,9.976537984,4.528620588,0.987137522,0.3,22.81522137,-0.006409911,-0.000393516,-0.006011702,0.0006346,0.148336556,0.004278108
LM21,-0.20416668,238,85.71855556,29.43129722,4961,0.083243243,0.083243243,7.1,-6,1.474,0.142,0.562999255,24.33720527,1.701933554,17.98269416,0.44,17.80478393,0.002611366,0.002066207,0.000544937,0.153596688,0.010692521,14.3648707
LM22,1.92499995,262,84.78524444,29.58028889,4636,0.022494888,0.022494888,7.44,-25,1.678,0.094,0.378444533,10.92225264,1.468503089,12.26398526,6.38,18.9852192,-0.002915991,-0.002304989,-0.000610587,0.120086761,0.008438054,14.23157089
LM23,2.24166656,289,83.93030278,29.76523056,4584,0.038302277,0.038302277,7.77,-45,1.133,0.107,0.361621277,6.87551991,1.658008565,1.289562217,0.43,19.85683888,-0.006752702,-0.001709076,-0.005042003,0.026619507,0.231826472,0.114825139
LM24,0.61249995,292,83.00388889,30.24238056,4645,0.013171226,0.013171226,7.48,-28,0.218,0.014,0.351767156,9.568678763,14.38823043,2.687801378,0.49,5.65374795,-0.005735606,-0.00380664,-0.001928496,0.176467854,0.045313864,3.894345738
LM25,-0.7208333,330,82.00850278,30.69096944,4819,0.023469388,0.023469388,8.18,-69,1.12,0.105,0.394298962,10.06721577,4.239873184,0.209993719,0.27,14.34156451,-0.007099487,-0.006308891,-0.000788731,0.322340974,0.005061958,63.67911414
LM26,-0.04583322,423,81.41294722,30.847175,4669,0.053515215,0.053515215,7.78,-46,0.833,0.083,0.438182735,16.69682918,1.72523325,12.82185184,0.32,19.82458788,-0.005157289,-0.005268949,0.000112553,0.312830851,0.000140494,2226.646552
LM27,-1.4083333,372,80.53974722,31.41492222,4772,0.040582726,0.040582726,7.72,-44,0.899,0.104,0.448853934,29.48203502,2.534488621,0.525442763,0.35,18.51562628,-0.006732504,-0.006117811,-0.000612938,0.331795165,0.003349616,99.05469504
LM38,-2.32916665,102,81.513225,32.21932222,4861,0.012955032,0.012955032,8.55,-89,1.42,0.03,0.29454882,10.9647072,1.485732976,4.034109404,9.63,6.00799168,-0.007404986,-0.004226716,-0.003176573,0.077917183,0.044056363,1.768579577
LM39,-1.67500007,77,82.43976944,32.3459,4744,0.016145308,0.016145308,8.12,-64,0.66,0.074,0.315786848,5.552806191,2.505967635,1.375825368,0.64,17.98310581,-0.003611443,-0.002248171,-0.001362036,0.048601628,0.017871324,2.719531454
LM40,0.79166669,81,83.77243611,32.30764444,4412,0.042443064,0.042443064,8.54,-92,5.298,0.084,0.605396148,7.838194023,3.330026455,0.52742655,43.24,17.78429923,-0.014144231,-0.010651444,-0.003484636,0.361317341,0.03885225,9.299779146
LM41,0.44166666,104,85.001425,32.00882222,4612,0.055265902,0.055265902,8.74,-104,3.346,0.154,0.544591095,6.278644124,2.326651915,0.537715109,18.06,24.53937724,0.000547997,0.001178468,-0.000630467,0.163190476,0.046707778,3.493860801
LM42,-1.07083321,139,86.08207222,31.86635833,4796,0.072961373,0.072961373,8.96,-114,2.892,0.133,0.508322465,9.087308957,1.936330887,2.947053053,15.97,20.58452986,0.014151744,0.004887425,0.009153991,0.012528626,0.045016329,0.27831291
LM43,1.23333323,240,87.31460278,31.79213611,4580,0.010162602,0.010162602,8.84,-108,2.607,0.034,0.384377228,7.607180418,1.935521429,1.157322092,20.5,26.02355974,-0.001101519,-0.003938056,0.00283505,0.092348509,0.047911841,1.927467322
LM44,1.07499993,350,88.46596111,31.81631944,4565,0.02247191,0.02247191,8.61,-96,5.07,0.034,0.212243413,5.558457047,0.886447994,2.526886235,42.35,13.76746303,-0.01489491,-0.014159006,-0.000659686,0.096368415,0.000260322,370.1893713
LM46,-3.54999995,427,91.73289444,32.39819167,4800,0.084507042,0.084507042,8.11,-66,5.042,0.277,0.438781454,8.092576649,5.395286291,2.82298818,12.23,23.00969664,-0.030588026,-0.015275799,-0.015027241,0.080719508,0.081104937,0.995247769
LM47,-3.625,280,92.56271944,34.31698333,4565,0.026666667,0.026666667,8.16,-68,2.161,0.047,0.288484099,11.2987208,3.408533333,1.5092,13.13,21.21447788,0.000941445,-0.000184404,0.001174116,2.02E-05,0.000753404,0.026827467
LM48,-3.98333335,233,93.89466111,35.39124722,4512,0.083333333,0.083333333,8.58,-93,1.508,0.048,0.313273837,9.316494609,1.366174056,2.807060755,10.79,19.08041057,0.002295824,0.002308717,-1.30E-05,0.190277645,5.93E-06,32068.1129
LM51,2.20416665,343,100.1514694,36.34455278,3066,0.056394763,0.056394763,7.73,-45,1.671,0.062,0.232358515,6.123612466,2.185287207,8.10938333,8.46,26.94965661,-0.004666793,-0.004470628,-0.0001969,0.252247014,0.000485662,519.3879203
HK2,4.61666679,405,101.4858389,36.61646944,2507,0.119153675,0.119153675,7.35,-20,3.14,0.12,0.72832141,21.6586251,1.680666909,7.812295167,14.72,20.9200457,0.004164089,-0.003317595,0.007444654,0.011405164,0.058003408,0.196629207
HK5,2.35416675,209,98.425625,36.96548333,3039,0.042443064,0.042443064,7.36,-21,1.316,0.014,0.274267909,4.983329968,0.256885868,1.820420355,10,24.52007555,-0.003439517,-0.00202008,-0.001415019,0.021577975,0.010653841,2.025370484
HK6,0.5916667,230,98.04460833,37.36252778,3383,0.160263447,0.160263447,9.37,-139,4.01,0.167,0.673472889,17.10315347,0.782936154,0.656164507,20.71,35.69473606,0.000518424,-0.000978298,0.001496709,0.05639045,0.131991284,0.427228593
HK25,-2.63333321,285,94.90870833,34.84655278,4330,0.113712375,0.113712375,7.47,-28,2.881,0.174,0.456733072,3.557996394,2.473678311,2.495963701,8.21,17.83546896,-0.042830906,-0.026165738,-0.016387169,0.257677467,0.104527332,2.465168312
HK26,-5.0916667,270,93.05199722,35.18738333,4658,0.131608549,0.131608549,6.72,16,1.15,0.041,0.248758996,2.394900347,6.860978296,3.645602329,6.34,18.94749375,-0.033597242,-0.015346138,-0.017970791,0.116690437,0.16504994,0.707000788
HK27,-4.42500019,346,92.01004722,33.55946389,4732,0.160694897,0.160694897,7.89,-53,4.167,0.125,0.918613943,1.910769364,1.811589834,1.138050024,29.5,20.31113984,-0.009964192,-0.001750481,-0.008125245,0.001507666,0.033194733,0.045418819
HK29,5.80416679,390,90.94962222,29.54985556,3682,0.017293998,0.017293998,6.81,12,0.678,0.057,0.621295908,1.856507282,3.591629697,1.986432067,0.27,21.63545824,-0.016341666,-0.010874683,-0.005441061,0.211953158,0.053567588,3.956742592
HK30,1.5,291,90.39163889,29.05575833,4469,0.068012752,0.068012752,7.2,-11,1.776,0.185,0.584317924,5.40880379,5.511288251,0.502971937,0.31,23.45900733,-0.007302925,-0.003284521,-0.0040091,0.031375695,0.046963094,0.668092599
HK31,1.95000005,266,89.65158333,28.65467222,4208,0.040498442,0.040498442,7.79,-46,1.091,0.071,0.323289302,4.512607147,1.994202576,4.081399054,2.8,15.5195353,0.000583032,0.000432245,0.000150779,0.062178533,0.007566767,8.217317977
