Site,MAT,MAP,LON,LAT,ALT,NestedT,Slope_PL,Slope_STP,Slope_ITV,ex_Turnover,ex_ITV,rate,P-PL,P-STP,P-ITV,GrasslandType
XY101,8.481018923,235,104.2383,36.54936,1692,21.95005274,-0.000495043,0.000181344,-0.000676366,0.002703621,0.037612389,0.071881126,0.574227534,0.527785479,0.410108425,Desert steppe
S1,3.849118932,595.1640643,102.8161111,35.26126944,2601,17.36694682,-0.002010126,-0.005358873,0.003342269,0.095353217,0.037235137,2.560839696,0.647177081,0.009181819,0.407187316,Desert steppe
S33,0.499686432,341.6982229,98.36585,35.72570278,3610,21.9285594,-0.006230779,-0.00403322,-0.002196145,0.113829807,0.033793525,3.368391088,0.026544835,0.046810968,0.264453002,Typical steppe
S34,3.97856191,251.6930202,98.10243056,36.32291667,3160,18.92380234,-0.003819769,-0.00645229,0.002631285,0.121500034,0.020225183,6.007364021,0.411345237,0.000191303,0.55438515,Typical steppe
S35,4.065437571,252.8750133,99.04158611,36.79149722,3085,15.8862377,0.005239394,-0.003726414,0.008967606,0.02233212,0.129278561,0.172744189,0.402681306,0.179821877,0.104979786,Typical steppe
S36,4.019301987,295.2091518,99.72840833,36.48398889,3190,20.22923302,0.000421692,0.003393255,-0.002969975,0.047834835,0.036684381,1.30395643,0.914744734,0.023897643,0.468231291,Typical steppe
LM18,4.8125,408,88.18423611,29.19433889,4023,19.94136475,-0.001288599,-0.000334972,-0.000953605,0.01474657,0.119517761,0.123383925,0.050629748,0.056429241,0.102410043,Typical steppe
LM19,2.875,335,87.21857778,29.23706667,4487,18.43815697,-0.000712121,0.000356663,-0.001068728,0.004103867,0.036851695,0.1113617,0.613004819,0.447086563,0.310503085,Meadow steppe
LM20,2.0291667,273,86.55095278,29.46441389,4632,22.81522137,-0.006409911,-0.000393516,-0.006011702,0.0006346,0.148336556,0.004278108,0.090767921,0.774119758,0.034061619,Typical steppe
LM21,-0.20416668,238,85.71855556,29.43129722,4961,17.80478393,0.002611366,0.002066207,0.000544937,0.153596688,0.010692521,14.3648707,0.036606358,0.019230858,0.231660962,Typical steppe
